差不注ワード,注記
火夫,要注意（軽視的表現）/職業(QC資料)
花屋,OK/職業(QC資料)
蝦夷,歴史語/人種民族差別(差不注DB)
外人,差別用語/地域差別(差不注DB)
革多,差別用語/部落差別(差不注DB)
革田,差別用語/部落差別(差不注DB)
奇形,差別用語/障害者差別(差不注DB)
帰化,要注意/地域差別(差不注DB)
帰鮮,差別用語/地域差別(差不注DB)
魚屋,OK/職業(QC資料)
京城,歴史語/地域差別(差不注DB)
狂う,差別用語/障害(QC資料)
狂気,要注意/障害者差別(差不注DB)
狂人,要注意/障害者差別(差不注DB)
業病,➡ハンセン病/病気差別(差不注DB)
屑屋,差別用語/職業差別(差不注DB)
靴屋,OK/職業(QC資料)
熊襲,歴史語/人種民族差別(差不注DB)
軽愚,差別用語/障害者差別(差不注DB)
血筋,要注意/部落差別(差不注DB)
血統,要注意/部落差別(差不注DB)
血脈,差別用語/部落差別(差不注DB)
孤児,要注意/格差(QC資料)
乞食,要注意/部落差別(差不注DB)
乞丐,差別用語/病気差別(差不注DB)
坑夫,➡労働者、作業員/職業差別(差不注DB)
工員,要注意（軽視的表現）/職業(QC資料)
工夫,➡土木建設作業員/職業差別(差不注DB)
抗夫,差別用語/職業差別(差不注DB)
鉱夫,差別用語/職業差別(差不注DB)
混血,差別用語/人種民族(QC資料)
細民,歴史語/部落差別(差不注DB)
産婆,➡助産師/性差別(差不注DB)
四つ,要注意語/部落差別(差不注DB)
支那,差別用語/地域差別(差不注DB)
死体,➡遺体など/尊厳表現(QC資料)
質屋,OK/職業(QC資料)
車夫,要注意（軽視的表現）/職業(QC資料)
酒屋,OK/職業(QC資料)
酋長,差別用語/地域差別(差不注DB)
集落,OK/部落差別(差不注DB)
従僕,要注意（軽視的表現）/職業(QC資料)
宿屋,OK/職業(QC資料)
女中,要注意（軽視的表現）/職業、性(QC資料)
女優,➡俳優/性差別(差不注DB)
女流,要注意（軽視的表現）/性(QC資料)
小人,差別用語/障害者差別(差不注DB)
小僧,要注意（軽視的表現）/年齢(QC資料)
床屋,OK/職業(QC資料)
色盲,差別用語/障害者差別(差不注DB)
新平,差別用語/部落差別(差不注DB)
人種,要注意/人種民族差別(差不注DB)
人夫,➡労働者、作業員/職業差別(差不注DB)
水夫,要注意（軽視的表現）/職業(QC資料)
生蕃,歴史語/人種民族差別(差不注DB)
精薄,差別用語/障害者差別(差不注DB)
石女,差別用語/性差別(差不注DB)
鮮人,差別用語/地域差別(差不注DB)
全鮮,歴史語/地域差別(差不注DB)
村落,OK/部落差別(差不注DB)
痴愚,差別用語/障害者差別(差不注DB)
茶筅,歴史語/部落差別(差不注DB)
朝鮮,歴史語/地域差別(差不注DB)
長吏,差別用語/部落差別(差不注DB)
低能,差別用語/障害者差別(差不注DB)
